base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
stations,{'all': 68},200,"{'lon': -159.78, 'lat': -21.21}",1552289400.0,4035715.0,"{'temp': 78.8, 'pressure': 1012, 'humidity': 88, 'temp_min': 78.8, 'temp_max': 78.8}",,Avarua,,,"{'type': 1, 'id': 7271, 'message': 0.005, 'country': 'CK', 'sunrise': 1552322400, 'sunset': 1552366657}",10000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 12.75, 'deg': 90}"
stations,{'all': 0},200,"{'lon': 112.52, 'lat': 29.72}",1552291563.0,1788268.0,"{'temp': 67.87, 'pressure': 1016.85, 'humidity': 53, 'temp_min': 67.87, 'temp_max': 67.87, 'sea_level': 1016.85, 'grnd_level': 1013.43}",,Dongsheng,,,"{'message': 0.0036, 'country': 'CN', 'sunrise': 1552257893, 'sunset': 1552300530}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 5.64, 'deg': 46.0009}"
stations,{'all': 0},200,"{'lon': 70.18, 'lat': 24.7}",1552291563.0,1176608.0,"{'temp': 82.81, 'pressure': 1013.21, 'humidity': 29, 'temp_min': 82.81, 'temp_max': 82.81, 'sea_level': 1013.21, 'grnd_level': 1006.95}",,Islamkot,,,"{'message': 0.0035, 'country': 'PK', 'sunrise': 1552267956, 'sunset': 1552310781}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 9.22, 'deg': 301.501}"
,,404,,,,,city not found,,,,,,,
,,404,,,,,city not found,,,,,,,
stations,{'all': 20},200,"{'lon': 149.07, 'lat': -23.58}",1552291564.0,2175403.0,"{'temp': 90.55, 'pressure': 1009.37, 'humidity': 37, 'temp_min': 90.55, 'temp_max': 90.55, 'sea_level': 1009.37, 'grnd_level': 987.19}",,Bluff,{'3h': 0.3875},,"{'message': 0.0035, 'country': 'AU', 'sunrise': 1552248209, 'sunset': 1552292625}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 3.29, 'deg': 215.001}"
stations,{'all': 100},200,"{'lon': 147.27, 'lat': -2.02}",1552291564.0,2092164.0,"{'temp': 80.02, 'pressure': 1009.17, 'humidity': 100, 'temp_min': 80.02, 'temp_max': 80.02, 'sea_level': 1009.17, 'grnd_level': 1006.95}",,Lorengau,{'3h': 1.09125},,"{'message': 0.0033, 'country': 'PG', 'sunrise': 1552249030, 'sunset': 1552292687}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 13.58, 'deg': 275.501}"
stations,{'all': 56},200,"{'lon': 26.89, 'lat': -33.59}",1552291504.0,964432.0,"{'temp': 70.48, 'pressure': 921, 'humidity': 84, 'temp_min': 66.99, 'temp_max': 73.99}",,Port Alfred,{},,"{'type': 3, 'id': 2010343, 'message': 0.0035, 'country': 'ZA', 'sunrise': 1552277316, 'sunset': 1552322142}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 8.99, 'deg': 106, 'gust': 6.26}"
stations,{'all': 48},200,"{'lon': 146.19, 'lat': 68.54}",1552291564.0,2126785.0,"{'temp': -11.78, 'pressure': 1015.09, 'humidity': 57, 'temp_min': -11.78, 'temp_max': -11.78, 'sea_level': 1015.09, 'grnd_level': 1007.51}",,Belaya Gora,,,"{'message': 0.0035, 'country': 'RU', 'sunrise': 1552251323, 'sunset': 1552291026}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 3.96, 'deg': 199.501}"
stations,{'all': 75},200,"{'lon': 115.24, 'lat': 5.28}",1552289400.0,1733782.0,"{'temp': 84.09, 'pressure': 1011, 'humidity': 78, 'temp_min': 82, 'temp_max': 86}",,Victoria,,,"{'type': 1, 'id': 9372, 'message': 0.0044, 'country': 'BN', 'sunrise': 1552256833, 'sunset': 1552300262}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'speed': 5.82}
